Number_of_Tweets,Number_of_Followers,Number_of_Friends,Total Retweet Count,Total Favourite Count,Average Retweet Count,Average Favourite Count,Date
25597,986104,237,11481,109662,0.4485291245,4.284173927,9/21/2021
25607,986491,237,11472,109599,0.448002,4.280041,9/22/2021
25611,986861,237,11475,109745,0.44805,4.285073,9/23/2021
25620,987677,237,11488,109939,0.4484,4.29114,9/24/2021
25620,988090,237,11488,110026,0.4484,4.294536,9/25/2021
25623,988578,237,11499,110301,0.44877649,4.30476525,9/26/2021
25649,989069,237,11082,108165,0.432064,4.217123,9/27/2021
25661,989585,237,10948,107205,0.42664,4.177741,9/28/2021
25674,989889,237,10581,105160,0.412129,4.095973,9/29/2021
25678,990236,237,10588,104965,0.412337,4.08774,9/30/2021
25693,990596,237,10369,103961,0.403573,4.046277,10/1/2021
25696,991001,237,10371,104080,0.403604,4.050436,10/2/2021
25697,991355,237,10348,103885,0.402693,4.04269,10/3/2021
